source_id,source_title,url_or_stable_identifier,source_date,publisher_origin,source_type,evidence_class,access_status,summary,limitations,mention_count,source_archives,original_reports,source_file_hashes
SRC-FRA-00001,Charles & Tarzi; Rayon and Nylon 66 Tire Cords at Elevated Temperature,DOI 10.1177/004051755802800913,1958,Textile Research Journal,,DIRECT PRIMARY,RETAIN — HIGH VALUE; evidence captured,Rayon and nylon-66 differ materially at elevated temperature; rayon inferred to produce less growth/cyclic extension.,Material evidence.; Cord-level.,3,ACLM_RESEARCH_DAY_20260903(11).zip; ACLM_RESEARCH_DAY_20260903(12).zip; ACLM_RESEARCH_DAY_20260903(13).zip; ACLM_RESEARCH_DAY_20260903(14).zip; ACLM_RESEARCH_DAY_20260903(7).zip; ACLM_RESEARCH_DAY_20260903.zip,ACLM_RESEARCH_DAY_20260903(11).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260903.csv; ACLM_RESEARCH_DAY_20260903(11).zip::ACLM_DAILY_SOURCE_MANIFEST_20260903.csv; ACLM_RESEARCH_DAY_20260903(12).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260903.csv; ACLM_RESEARCH_DAY_20260903(12).zip::ACLM_DAILY_SOURCE_MANIFEST_20260903.csv; ACLM_RESEARCH_DAY_20260903(13).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260903.csv; ACLM_RESEARCH_DAY_20260903(13).zip::ACLM_DAILY_SOURCE_MANIFEST_20260903.csv; ACLM_RESEARCH_DAY_20260903(14).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260903.csv; ACLM_RESEARCH_DAY_20260903(14).zip::ACLM_DAILY_SOURCE_MANIFEST_20260903.csv; ACLM_RESEARCH_DAY_20260903(7).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260903.csv; ACLM_RESEARCH_DAY_20260903(7).zip::ACLM_DAILY_SOURCE_MANIFEST_20260903.csv; ACLM_RESEARCH_DAY_20260903.zip::ACLM_DAILY_EVIDENCE_LEDGER_20260903.csv; ACLM_RESEARCH_DAY_20260903.zip::ACLM_DAILY_SOURCE_MANIFEST_20260903.csv,2d1921c9c2063d22a0c3c2d76dbee9f1413d6a02ebb7d1e6cae7abde66f9c8e9; 957f8bc6783bb25e0d17ef72ee9b6c5e2bb103c443f37c69d029c50672b5fc19
SRC-FRA-00002,Towards Predicting Relative Belt Edge Endurance With the Finite Element Method,10.2346/1.2141701,1990,,,UNKNOWN,,,,1,ACLM_US_Tire_Research_Checkpoint_2026-09-04(1).zip; ACLM_US_Tire_Research_Checkpoint_2026-09-04(2).zip; ACLM_US_Tire_Research_Checkpoint_2026-09-04_FULLSET.zip,ACLM_US_Tire_Research_Checkpoint_2026-09-04(1).zip::ACLM_US_Tire_Research_Checkpoint_2026-09-04/GENERAL_GENCORP_PAPER_GRAPH.csv; ACLM_US_Tire_Research_Checkpoint_2026-09-04(2).zip::ACLM_US_Tire_Research_Checkpoint_2026-09-04/GENERAL_GENCORP_PAPER_GRAPH.csv; ACLM_US_Tire_Research_Checkpoint_2026-09-04_FULLSET.zip::ACLM_US_Tire_Research_Checkpoint_2026-09-04_FULLSET/GENERAL_GENCORP_PAPER_GRAPH.csv,c3bcbc9f373078ec553b0418b7e52087312771f6e2ed73f06c36e078a3a7f9f0
SRC-FRA-00003,Finite Element Simulation of Destructive Tire Testing,10.2346/1.2141706,1991,,,UNKNOWN,,,,1,ACLM_US_Tire_Research_Checkpoint_2026-09-04(1).zip; ACLM_US_Tire_Research_Checkpoint_2026-09-04(2).zip; ACLM_US_Tire_Research_Checkpoint_2026-09-04_FULLSET.zip,ACLM_US_Tire_Research_Checkpoint_2026-09-04(1).zip::ACLM_US_Tire_Research_Checkpoint_2026-09-04/GENERAL_GENCORP_PAPER_GRAPH.csv; ACLM_US_Tire_Research_Checkpoint_2026-09-04(2).zip::ACLM_US_Tire_Research_Checkpoint_2026-09-04/GENERAL_GENCORP_PAPER_GRAPH.csv; ACLM_US_Tire_Research_Checkpoint_2026-09-04_FULLSET.zip::ACLM_US_Tire_Research_Checkpoint_2026-09-04_FULLSET/GENERAL_GENCORP_PAPER_GRAPH.csv,c3bcbc9f373078ec553b0418b7e52087312771f6e2ed73f06c36e078a3a7f9f0
SRC-FRA-00004,An Axisymmetric Finite Element and Its Use to Examine the Effects of Construction Variables on Radial Tires,10.2346/1.2148787,1987,,,UNKNOWN,,,,1,ACLM_US_Tire_Research_Checkpoint_2026-09-04(1).zip; ACLM_US_Tire_Research_Checkpoint_2026-09-04(2).zip; ACLM_US_Tire_Research_Checkpoint_2026-09-04_FULLSET.zip,ACLM_US_Tire_Research_Checkpoint_2026-09-04(1).zip::ACLM_US_Tire_Research_Checkpoint_2026-09-04/GENERAL_GENCORP_PAPER_GRAPH.csv; ACLM_US_Tire_Research_Checkpoint_2026-09-04(2).zip::ACLM_US_Tire_Research_Checkpoint_2026-09-04/GENERAL_GENCORP_PAPER_GRAPH.csv; ACLM_US_Tire_Research_Checkpoint_2026-09-04_FULLSET.zip::ACLM_US_Tire_Research_Checkpoint_2026-09-04_FULLSET/GENERAL_GENCORP_PAPER_GRAPH.csv,c3bcbc9f373078ec553b0418b7e52087312771f6e2ed73f06c36e078a3a7f9f0
SRC-FRA-00005,Efficient Approach for the Three-Dimensional Finite Element Analysis of Tires,10.2346/1.2148809,1988,,,UNKNOWN,,,,1,ACLM_US_Tire_Research_Checkpoint_2026-09-04(1).zip; ACLM_US_Tire_Research_Checkpoint_2026-09-04(2).zip; ACLM_US_Tire_Research_Checkpoint_2026-09-04_FULLSET.zip,ACLM_US_Tire_Research_Checkpoint_2026-09-04(1).zip::ACLM_US_Tire_Research_Checkpoint_2026-09-04/GENERAL_GENCORP_PAPER_GRAPH.csv; ACLM_US_Tire_Research_Checkpoint_2026-09-04(2).zip::ACLM_US_Tire_Research_Checkpoint_2026-09-04/GENERAL_GENCORP_PAPER_GRAPH.csv; ACLM_US_Tire_Research_Checkpoint_2026-09-04_FULLSET.zip::ACLM_US_Tire_Research_Checkpoint_2026-09-04_FULLSET/GENERAL_GENCORP_PAPER_GRAPH.csv,c3bcbc9f373078ec553b0418b7e52087312771f6e2ed73f06c36e078a3a7f9f0
SRC-FRA-00006,Finite Element Modeling of a Homogeneous Pneumatic Tire Subjected To Footprint Loadings,10.2346/1.2150990,1985,,,UNKNOWN,,,,1,ACLM_US_Tire_Research_Checkpoint_2026-09-04(1).zip; ACLM_US_Tire_Research_Checkpoint_2026-09-04(2).zip; ACLM_US_Tire_Research_Checkpoint_2026-09-04_FULLSET.zip,ACLM_US_Tire_Research_Checkpoint_2026-09-04(1).zip::ACLM_US_Tire_Research_Checkpoint_2026-09-04/GENERAL_GENCORP_PAPER_GRAPH.csv; ACLM_US_Tire_Research_Checkpoint_2026-09-04(2).zip::ACLM_US_Tire_Research_Checkpoint_2026-09-04/GENERAL_GENCORP_PAPER_GRAPH.csv; ACLM_US_Tire_Research_Checkpoint_2026-09-04_FULLSET.zip::ACLM_US_Tire_Research_Checkpoint_2026-09-04_FULLSET/GENERAL_GENCORP_PAPER_GRAPH.csv,c3bcbc9f373078ec553b0418b7e52087312771f6e2ed73f06c36e078a3a7f9f0
SRC-FRA-00007,SAE 560029 — Practical Tire Research,DOI 10.4271/560029,1956,Dunlop / SAE; Dunlop,,DIRECT PRIMARY,RETAIN — P0 FULL PAPER; evidence captured,"Dunlop's V. E. Gough published automobile tire characteristic curves relating cornering force, aligning torque, slip angle and caster, with tread buffing analysis and standing-wave photography at 100 mph.",Direct cornering/Mz/slip/caster source.; Abstract recovered; specimen identity and numeric curves still need full paper.,11,ACLM_RESEARCH_DAY_20260904(10).zip; ACLM_RESEARCH_DAY_20260904(6).zip; ACLM_RESEARCH_DAY_20260904(7).zip; ACLM_RESEARCH_DAY_20260904(8).zip; ACLM_RESEARCH_DAY_20260904(9).zip,ACLM_RESEARCH_DAY_20260904(10).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(10).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(6).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(6).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(7).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(7).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(8).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(8).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(9).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(9).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv,1eb770254af6954e7f4b0ef5f9f98bca3bab97c219d5d729af228bed4d3bb54c; 24dad310eb7100d64dfb3f098e75e8ca8e635419c9f51585a8bb25f669c9d893; 2721259b1cc188c2e5209be06563d4cb68fd4ecfcbc453d995798050efdf3f31; 5be5e5b8e78f1c8c92526095da047ca140284e674a015b043acc0728868d5344; 63c18a8980e80f99648b8173706b799c678022bc0c817b9f88de2cf42d38d0dd; 6481435f456abb3266e06b8dffaf1b8fff319e2560d5811600cf4a1332b25645; 856cbb4275766922ecba0cd723affee7d1787b657b8aad7d88c9939f27fcd591; b4f7f2cf2741757ad97360c8cd3a4632cdf48d608007af35122a6fde860af7b5; ca05561db11cd615e00aee1cf029a22596cfd34bf368fc5660a30306ffea667f; ed5146bf52c28c877c40b2c61d2c985917f08686e498f776176aadc14374d3e5
SRC-FRA-00008,SAE 570024 — Some Aspects of High-Speed Tire Testing,DOI 10.4271/570024,1957,Dunlop / SAE; Dunlop,,DIRECT PRIMARY,RETAIN — P0 FULL PAPER; evidence captured,"Dunlop's E. F. Powell describes high-performance-car tire testing focused on traction-wave/tread-ripple freedom, tread life, casing strength and handling, with machine tests correlated to Continental road evaluation.",High-performance car supplier testing.; Full numeric data not yet recovered.,11,ACLM_RESEARCH_DAY_20260904(10).zip; ACLM_RESEARCH_DAY_20260904(6).zip; ACLM_RESEARCH_DAY_20260904(7).zip; ACLM_RESEARCH_DAY_20260904(8).zip; ACLM_RESEARCH_DAY_20260904(9).zip,ACLM_RESEARCH_DAY_20260904(10).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(10).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(6).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(6).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(7).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(7).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(8).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(8).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(9).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(9).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv,1eb770254af6954e7f4b0ef5f9f98bca3bab97c219d5d729af228bed4d3bb54c; 24dad310eb7100d64dfb3f098e75e8ca8e635419c9f51585a8bb25f669c9d893; 2721259b1cc188c2e5209be06563d4cb68fd4ecfcbc453d995798050efdf3f31; 5be5e5b8e78f1c8c92526095da047ca140284e674a015b043acc0728868d5344; 63c18a8980e80f99648b8173706b799c678022bc0c817b9f88de2cf42d38d0dd; 6481435f456abb3266e06b8dffaf1b8fff319e2560d5811600cf4a1332b25645; 856cbb4275766922ecba0cd723affee7d1787b657b8aad7d88c9939f27fcd591; b4f7f2cf2741757ad97360c8cd3a4632cdf48d608007af35122a6fde860af7b5; ca05561db11cd615e00aee1cf029a22596cfd34bf368fc5660a30306ffea667f; ed5146bf52c28c877c40b2c61d2c985917f08686e498f776176aadc14374d3e5
SRC-FRA-00009,SAE640028,DOI 10.4271/640028,1964,GM/SAE,,DIRECT PRIMARY,P0 FULL TEXT; evidence captured,"GM 7.60-15 test varied slip, camber, load, pressure and wheel torque, measuring Fy and Mz.; GM 7.60-15 tire matrix varies slip, camber, load, pressure and wheel torque, measuring Fy and Mz.",Numeric curves unresolved.; Numeric curves not surfaced.; Full curves unresolved.; Full curves unavailable.,17,ACLM_RESEARCH_DAY_20260904(1).zip; ACLM_RESEARCH_DAY_20260904(10).zip; ACLM_RESEARCH_DAY_20260904(2).zip; ACLM_RESEARCH_DAY_20260904(3).zip; ACLM_RESEARCH_DAY_20260904(4).zip; ACLM_RESEARCH_DAY_20260904(5).zip; ACLM_RESEARCH_DAY_20260904(6).zip; ACLM_RESEARCH_DAY_20260904(7).zip; ACLM_RESEARCH_DAY_20260904(8).zip; ACLM_RESEARCH_DAY_20260904(9).zip; ACLM_RESEARCH_DAY_20260904.zip,ACLM_RESEARCH_DAY_20260904(1).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(1).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(10).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(10).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(2).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(2).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(3).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(3).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(4).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(4).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(5).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(5).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(6).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(6).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(7).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(7).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(8).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(8).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(9).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(9).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904.zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904.zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv,1eb770254af6954e7f4b0ef5f9f98bca3bab97c219d5d729af228bed4d3bb54c; 2032bf59fec3661c6e108edea76d06542ad5654f67576d6200e2471193417f41; 24dad310eb7100d64dfb3f098e75e8ca8e635419c9f51585a8bb25f669c9d893; 2721259b1cc188c2e5209be06563d4cb68fd4ecfcbc453d995798050efdf3f31; 5be5e5b8e78f1c8c92526095da047ca140284e674a015b043acc0728868d5344; 63c18a8980e80f99648b8173706b799c678022bc0c817b9f88de2cf42d38d0dd; 6481435f456abb3266e06b8dffaf1b8fff319e2560d5811600cf4a1332b25645; 75fa31fe4f5c0027da8797f14125a7ecc806adad55dd6de0392ff6d15828cae7; 856cbb4275766922ecba0cd723affee7d1787b657b8aad7d88c9939f27fcd591; b1c8a9507837439da146994f0a8fc3cdf3807acc59b3b20e8d9373da6ccd8f67; b4f7f2cf2741757ad97360c8cd3a4632cdf48d608007af35122a6fde860af7b5; b6d8098059819df34ac051e3a1b98e55d5eda7d9774bc36033ae9ab16d1fc4f8; badf4f8ab5e8df1f6e46a3ce365ee58eac4c5510c2c62fdac96e91926795c133; ca05561db11cd615e00aee1cf029a22596cfd34bf368fc5660a30306ffea667f; ec278912b6e824e9b7deeef0b03048af4f54b833c566482c3fe1807d1c4e2896; ed5146bf52c28c877c40b2c61d2c985917f08686e498f776176aadc14374d3e5
SRC-FRA-00010,SAE690522,DOI 10.4271/690522,1969,Firestone/SAE; Firestone,,DIRECT PRIMARY,RETAIN; FULL FIGURES UNRESOLVED; evidence captured,"Local cord loads vary with load, pressure, speed, rim width and interface friction.; Firestone measured crown/shoulder/sidewall cord loads; load, pressure, speed, rim width and interface friction affect forces.",Rare local cord-load data.; Full plots unavailable.; Full plots unresolved.,18,ACLM_RESEARCH_DAY_20260904(1).zip; ACLM_RESEARCH_DAY_20260904(10).zip; ACLM_RESEARCH_DAY_20260904(2).zip; ACLM_RESEARCH_DAY_20260904(3).zip; ACLM_RESEARCH_DAY_20260904(4).zip; ACLM_RESEARCH_DAY_20260904(5).zip; ACLM_RESEARCH_DAY_20260904(6).zip; ACLM_RESEARCH_DAY_20260904(7).zip; ACLM_RESEARCH_DAY_20260904(8).zip; ACLM_RESEARCH_DAY_20260904(9).zip; ACLM_RESEARCH_DAY_20260904.zip,ACLM_RESEARCH_DAY_20260904(1).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(1).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(10).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(10).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(2).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(2).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(3).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(3).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(4).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(4).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(5).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(5).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(6).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(6).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(7).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(7).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(8).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(8).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904(9).zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904(9).zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv; ACLM_RESEARCH_DAY_20260904.zip::ACLM_DAILY_EVIDENCE_LEDGER_20260904.csv; ACLM_RESEARCH_DAY_20260904.zip::ACLM_DAILY_SOURCE_MANIFEST_20260904.csv,1eb770254af6954e7f4b0ef5f9f98bca3bab97c219d5d729af228bed4d3bb54c; 2032bf59fec3661c6e108edea76d06542ad5654f67576d6200e2471193417f41; 24dad310eb7100d64dfb3f098e75e8ca8e635419c9f51585a8bb25f669c9d893; 2721259b1cc188c2e5209be06563d4cb68fd4ecfcbc453d995798050efdf3f31; 5be5e5b8e78f1c8c92526095da047ca140284e674a015b043acc0728868d5344; 63c18a8980e80f99648b8173706b799c678022bc0c817b9f88de2cf42d38d0dd; 6481435f456abb3266e06b8dffaf1b8fff319e2560d5811600cf4a1332b25645; 75fa31fe4f5c0027da8797f14125a7ecc806adad55dd6de0392ff6d15828cae7; 856cbb4275766922ecba0cd723affee7d1787b657b8aad7d88c9939f27fcd591; b1c8a9507837439da146994f0a8fc3cdf3807acc59b3b20e8d9373da6ccd8f67; b4f7f2cf2741757ad97360c8cd3a4632cdf48d608007af35122a6fde860af7b5; b6d8098059819df34ac051e3a1b98e55d5eda7d9774bc36033ae9ab16d1fc4f8; badf4f8ab5e8df1f6e46a3ce365ee58eac4c5510c2c62fdac96e91926795c133; ca05561db11cd615e00aee1cf029a22596cfd34bf368fc5660a30306ffea667f; ec278912b6e824e9b7deeef0b03048af4f54b833c566482c3fe1807d1c4e2896; ed5146bf52c28c877c40b2c61d2c985917f08686e498f776176aadc14374d3e5
