tire_key,tire_no,tire_no_raw,source_pdf_page,size_raw,manufacturer_code,manufacturer_name,brand_name_raw,cords_raw,construction_type,construction_name,construction_source,remarks_raw,mapped_package_count,exact_ocr_package_count,best_mapping_confidence,first_data_volume,first_data_page,measurement_page_count,cornering_coeff_page_count,braking_coeff_page_count,evidence_class,transcription_status,identity_scope,racing_applicability_default,curve_digitization_status
TIRF-008,8,008,216,G78-15,DU,Dunlop,Gold Seal RS Patrol,4N+ZF/4N,BB,Bias Belted,Appendix B OCR / direct row,,1,0,HIGH,3,9,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-010,10,010,216,F70-14,GY,Goodyear,Custom Wide Tread Polyglas,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,MEDIUM,3,17,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-011,11,011,216,F78-14,GY,Goodyear,Custom Power Cushion Polyglas,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,1,HIGH,3,25,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-012,12,012,216,G78-14,GY,Goodyear,Custom Power Cushion Polyglas,2P+2F/ZP,BB,Bias Belted,Appendix B OCR / direct row,tests,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-014,14,014,216,G78-14,FI,Firestone,Del9Xe Champion Belted Sup-R-Belt,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,1,HIGH,3,33,3,2,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-016,16,016,216,G78-14,BFG,BF Goodrich,Silvertown Belted,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-017,17,017,216,G78-14,BFG,BF Goodrich,Silvertown Trailmaker Belted,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,Snow.,1,0,MEDIUM,3,45,4,3,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-018,18,018,216,G78-15,FI,Firestone,Deluxe ChampionSup-R-Belt,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-020,20,OZO,216,G78-15,UN,Uniroyal,Uniroyal Belted,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-021,21,OZI,216,H78-15,UN,Uniroyal,Zeta Z5M Belted,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,HIGH,3,67,7,3,2,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-022,22,OZZ,216,J78-15,UN,Uniroyal,Zeta Z5M,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-023,23,OZ3,216,L78-15,UN,Uniroyal,Zeta Z5M,2P+2F/2P,BB,Bias Belted,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
