package_id,package_index,volume,source_file,start_page,end_page,tire_key,matched_tire_no,mapping_confidence,mapping_basis,alignment_score,tire_no_raw,size_raw,manufacturer_raw,brand_raw,construction_raw,load_range_raw,max_load_lb_raw,max_infl_psi_raw,aspect_ratio_raw,tra_rim_width_raw,shore_hardness_raw,run_no_raw,road_speed_mph_raw,water_depth_mil_raw,cold_infl_psi_raw,design_load_lb_raw,rim_width_in_raw,groove_depth_pct_raw,master_size,master_manufacturer,master_brand,master_construction,package_source_evidence_class,master_mapping_evidence_class
V03-P009,1,3,PB263442(1).pdf,9,16,TIRF-008,8,HIGH,sequence + strong metadata,93.02,006,"18 \,-- Gt -\~",DU,GOLD 5EAL ::<5 PATROL,BB '1,B,lG20,3'2.,7C::>.5,",,- 5.50 1.",") ( - 48.C;,",0'2.3 17.'2..\,~O,--,2.4-,B,"5,50",100,G78-15,Dunlop,Gold Seal RS Patrol,Bias Belted,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P017,2,3,PB263442(1).pdf,17,24,TIRF-010,10,MEDIUM,sequence + partial metadata,47.15,0\0,lO - \4- 1=,"r'V """" I",".... TREAO ""'UST"":JM ... VJ 1:JE. ~",", BB",B,\500,32-,11.4,-.- ~ ~O,,39'2... 14G:>1,"SO "" ~ """,--,24,B,5.50,':. 100 :;:,F70-14,Goodyear,Custom Wide Tread Polyglas,Bias Belted,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P025,3,3,PB263442(1).pdf,25,32,TIRF-011,11,HIGH,exact OCR tire number + sequence/metadata,150.48,011,lB-!4 F,-Gl',CUSTOM POWER,8S,,ISOO,"...,- ~,r:",(a.a,5.S0,( ) . '59.8,"! 4"" . 5,89 i . .:' ...,.","SO , > •• • - - ~",-,24,,5.50,100,F78-14,Goodyear,Custom Power Cushion Polyglas,Bias Belted,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P033,4,3,PB263442(1).pdf,33,44,TIRF-014,14,HIGH,exact OCR tire number + sequence/metadata,146.18,014,G 75-\4,,DE.LUXE. Cr-\AMP\ON,58,B,\~'2.0,- ..... ~'/,15.9,G~OO,( ) . 59. B,"I;·' n 045 1'.: I -,. ( ...•.. ,","BO "" ~",-,2..4-,B,~.OO,100,G78-14,Firestone,Del9Xe Champion Belted Sup-R-Belt,Bias Belted,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P045,5,3,PB263442(1).pdf,45,66,TIRF-017,17,MEDIUM,sequence + partial metadata,77.09,0\7,G lB - '14-,BFG.,TRAILMAKER SILVERTOVvN,BeE,B,\CO~(),'5'2.,".- .., 3 c, '",i ':0.00,"I ( ) , ::= 1::. ~ ."" filii .. ', ....",·..)41 1'2.25,"- SO , ,",--,2.4,B,~.JO,100,G78-14,BF Goodrich,Silvertown Trailmaker Belted,Bias Belted,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P067,6,3,PB263442(1).pdf,67,98,TIRF-021,21,HIGH,sequence + strong metadata,137.77,O~!,H 78-15,UN,ZETA 25M BELTE.D,BB,B,ll/O,~2.,15.7,"I (D,OO",,"OlB IZc,S !",. . ' ~ ~O I,-,24,B,"c,.00",100,H78-15,Uniroyal,Zeta Z5M Belted,Bias Belted,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P099,7,3,PB263442(1).pdf,99,106,TIRF-025,25,HIGH,exact OCR tire number + sequence/metadata,156.11,0'2.5,H 1B-\S,DU,SPORT QOLD~c.AL,,", B","\1,0",~'2..,/5.7,i CD.OO,I ( ) S(D.O,,~. ~ ~ ~O I,-,2.4,", B",(Q.OO,100,H78-15,Dunlop,"Goldseal Sport Belted ""78.""",Bias Belted,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P107,8,3,PB263442(1).pdf,107,114,TIRF-026,26,HIGH,exact OCR tire number + sequence/metadata,170.5,0'26,-0 75- IS,"DU """,78 SPORT GOLD5EAL,DU BB,B,\BCeO,5'2. NOTATIONS,7G.G GT,OY G.OO i I,"I KS ( ) 51.""2-",1303 \ OG:> B,SO BB,R ---.-,2..4- F,B,cP.OO N,100 P .i;,J78-15,Dunlop,Goldseal 78 Sport Belted,Bias Belted,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P115,9,3,PB263442(1).pdf,115,122,TIRF-027,27,HIGH,exact OCR tire number + sequence/metadata,174.59,'C' 0'2.7,L7S-IS,DU,GOLC5eAL 78 !;PORT,I DU 8B I,B,1910,52 NOTATIONS,78.4 i,"I cD.OO I , ;","KS i ( ) ,",j3Sec. I 'Z. t B,BB ~O,-- R,2.4- F,B,"G,CO N",100 P,L78-15,Dunlop,Golds~al 78 Sport Belted,Bias Belted,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P123,10,3,PB263442(1).pdf,123,131,TIRF-028,28,HIGH,sequence + strong metadata,91.5,0'2.. S,GIS-IS,DU,cw \4-4- ':';\ L'e.}..JT TRACTION,BB,B,"IC,20",3'2.,7~.S,5.50,,I'L'l; 0'2..1,.~ ~O,--,24,B,5.50,100,G78-15,Dunlop,CW 144Silen Traction Belted,Bias Belted,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P132,11,3,PB263442(1).pdf,132,147,TIRF-029,29,MEDIUM,sequence + partial metadata,40.0,,,,STE.EL~A.RD ~AD\AL-,DU,,,NOTATIONS,,GY,"! KS ) ( ,",1 '2.Bi B,~ BB,R,F,,N,p,BR70-13,Goodyear,Custom Steelgard Radial,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P148,12,3,PB263442(1).pdf,148,155,TIRF-030,30,MEDIUM,sequence + partial metadata,42.92,,7B- \4,,RA.OIA.L 5TE.ELGA~D,"DU I , I",,,NOTATIONS,", GT I",", GY ,",", i KS ( )","141e, B",BB,R,F,,,P,DR78-14,Goodyear,Custom Steelgard Radial,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P156,13,3,PB263442(1).pdf,156,163,TIRF-031,31,MEDIUM,sequence + partial metadata,71.72,,78-14-,,":,T E.E.LGt A D l< RADiAL",DU,,,NOTATIONS,GT,", GY ,","KS I ( ) ,",i'2.92- I,... - p ~ BB,R,F,,N,- P ......,DR78-14,Goodyear,Custom Steelgard Radial,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P164,14,3,PB263442(1).pdf,164,171,TIRF-032,32,LOW,sequence-dominant; weak OCR,17.84,,,,RADiA.L STf.E:LGtA I<D,DU,,,NOTATIONS,f' GT,N,l KS ( !,/'2. s; B,BB I,R,F,,,p,ER78-14,Goodyear,Custom Steelgard Radial,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P172,15,3,PB263442(1).pdf,172,187,TIRF-033,33,MEDIUM,sequence + partial metadata,60.78,,1B-\4-,,STEELGARD,DU,,-,"NOTATIONS -."".","GT ,-",N,KS ( 8 ) !,/26>4 B - ......,".- ~ BE I . --, -",R,"F .... "",,-, ~",,,"P - .. "". , .,-, , ~",GR78-14,Goodyear,Custom Steelgard Radial,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P188,16,3,PB263442(1).pdf,188,195,TIRF-036,36,LOW,sequence-dominant; weak OCR,34.15,,"-,o-\S",,"""ro 51E E.LGt ARD t-/I ~",DU,,0,NOTATIONS,GT,GY I !,"_u ......... I KS ( ) , ,. r.",i'2.S8,"."" .- ~ BB",R,F,,N,P,GR70-15,Goodyear,Custom Steelgard Radial 2P+2S+1N,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P196,17,3,PB263442(1).pdf,196,203,TIRF-037,37,LOW,sequence-dominant; weak OCR,10.0,,"-,0 -\ S",,,,,,NOTATIONS,GT,"GY .. . ."" "" ,","'KS 1, ( 1",",.., - ,-. r "" .t:>:"", i L • .';","' BB I .. ,","R '""",F,,"-..... "" N ,:,.. n' "" o·","P --.,. ,': ,"".-. ,- "".,'"", "".ii'-",HR70-15,Goodyear,Custom Steelgard Radial 2P+2S+1N,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P204,18,3,PB263442(1).pdf,204,211,TIRF-038,38,LOW,sequence-dominant; weak OCR,26.67,,78-\5,,,DU,",",,NOTATIONS,GT,GY j,KS ( ) 1,1'2.29 B :,BB I,- R,F,",",N,P,GR78-15,Goodyear,Custom Steelgard Radial 2P+2S+1N,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P212,19,3,PB263442(1).pdf,212,219,TIRF-039,39,MEDIUM,sequence + partial metadata,75.95,,7&-15,,STEELG.ARD RA.DIAL,"DU I ,",,,NOTATIONS,i GT,OY,"KS , 8 ( )",1!-~3 B,.. ° BB,P,F,,N,,HR78-15,Goodyear,Custom Steelgard Radial 2P+2S+1N,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P220,20,3,PB263442(1).pdf,220,227,TIRF-040,40,MEDIUM,sequence + partial metadata,41.14,,18-iS,,STE.E.L~ARD,DU I I,,,NOTATIONS,GT,I GY I I,I KS ( ),1304 B,BB,R,F,,N,P,JR78-15,Goodyear,Custom Steelgard Radial 2P+2S+1N,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P228,21,3,PB263442(1).pdf,228,235,TIRF-041,41,MEDIUM,sequence + partial metadata,48.44,,1B-15,,5TE:.ElGARD,DU,,,NOTATIONS,GT,GY,KS ( B ),SE,",. SO .M •• ••• _ -~ .~ ~ BB",R,F,,SO N,P,LR78-15,Goodyear,Custom Steelgard Radial 2P+2S+1N,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P236,22,3,PB263442(1).pdf,236,243,TIRF-042,42,MEDIUM,sequence + partial metadata,44.47,,18-15,,ITE. STEr::.L,DU,",",,. NOTATIONS,G'r,GY i,KS I ( ) I,SE,BB I,R,F,",",N,P,! GR78-15,Goodyear,Suburbanite Steel Belted Radial 2P+2SI2P,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
V03-P244,23,3,PB263442(1).pdf,244,251,TIRF-043,43,MEDIUM,sequence + partial metadata,41.67,,;8-15,,"BEL \TE S1""EE.L","DU I , ~",,,,G1' !,", GY","KS ( ) ,",I2.Co9,""" "" BB",P,F,,,,HR78-15,Goodyear,Suburbanite Steel Belted Radial 2P+2S/2P,Radial Ply,DIRECT PRIMARY,DERIVED / RECONSTRUCTED
