weakness,subjectPeriodStart,subjectPeriodEnd,historicalClass,supplier,documentType,activeTargetCount
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Avon","supplier technical document","5"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Firestone","supplier technical document","4"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Pirelli","setup book / test sheet","4"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Bridgestone/other","setup book / test sheet","4"
"W03_FM_STIFFNESS_TRANSIENT","1977","1981","Group 4 Special GT — 1970-1981","Bridgestone/other","supplier technical paper","4"
"W04_WET_INTERMEDIATE","1950","1959","Sports racing / prototypes — 1950-1963","Avon","period race report / technical feature","4"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Firestone","peer-reviewed paper","3"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Dunlop","technical paper","3"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Michelin","setup book / test sheet","3"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Pirelli","setup book / test sheet","3"
"W01_PRESSURE_TEMP_SETUP","1966","1969","GT40-era endurance","Goodyear","setup book / test sheet","3"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Goodyear","period technical/race article","3"
"W01_PRESSURE_TEMP_SETUP","1992","1996","Historic Racing Reference","Firestone","supplier technical document","3"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Michelin","supplier technical document","3"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Bridgestone/other","supplier technical document","3"
"W01_PRESSURE_TEMP_SETUP","2002","1969","Group 2 / ETCC — 1963-1969","Goodyear","supplier technical document","3"
"W01_PRESSURE_TEMP_SETUP","1960","1965","US GT / sports racing — pre-IMSA GT","Avon","setup book / test sheet","3"
"W01_PRESSURE_TEMP_SETUP","1987","1974","Can-Am — original","Bridgestone/other","supplier technical document","3"
"W01_PRESSURE_TEMP_SETUP","1993","1996","Le Mans Prototype transition","Goodyear","setup book / test sheet","3"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Bridgestone/other","setup book / test sheet","3"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Goodyear","supplier technical document","3"
"W01_PRESSURE_TEMP_SETUP","2002","2010","General Racing Tire","Dunlop","setup book / test sheet","3"
"W01_PRESSURE_TEMP_SETUP","1987","1991","Historic Racing Reference","Avon","setup book / test sheet","3"
"W01_PRESSURE_TEMP_SETUP","1966","1971","General Tire Mechanics","Dunlop","setup book / test sheet","3"
"W01_PRESSURE_TEMP_SETUP","1972","1976","Group 4 Special GT — 1970-1981","Avon","supplier technical document","3"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Dunlop","supplier technical document","3"
"W02_WEAR_LIFE_GRIP","1950","1959","Sports racing / prototypes — 1950-1963","Pirelli","supplier racing document","3"
"W02_WEAR_LIFE_GRIP","1950","1959","Sports racing / prototypes — 1950-1963","Michelin","supplier racing document","3"
"W02_WEAR_LIFE_GRIP","1960","1963","Sports racing / prototypes — 1950-1963","Bridgestone/other","government technical report","3"
"W02_WEAR_LIFE_GRIP","1960","1963","Sports racing / prototypes — 1950-1963","Avon","government technical report","3"
"W03_FM_STIFFNESS_TRANSIENT","1972","1976","Group 4 Special GT — 1970-1981","Bridgestone/other","technical paper","3"
"W03_FM_STIFFNESS_TRANSIENT","1966","1971","Sports racing / prototypes — 1964-1971","Firestone","supplier technical paper","3"
"W03_FM_STIFFNESS_TRANSIENT","1982","1986","Group C","Goodyear","thesis/dissertation","3"
"W03_FM_STIFFNESS_TRANSIENT","1977","1981","Group 4 Special GT — 1970-1981","Pirelli","government technical report","3"
"W03_FM_STIFFNESS_TRANSIENT","1972","1976","Group 4 Special GT — 1970-1981","Michelin","technical paper","3"
"W03_FM_STIFFNESS_TRANSIENT","1972","1976","Group 4 Special GT — 1970-1981","Firestone","technical paper","3"
"W03_FM_STIFFNESS_TRANSIENT","1966","1971","Sports racing / prototypes — 1964-1971","Bridgestone/other","technical paper","3"
"W04_WET_INTERMEDIATE","1960","1963","Sports racing / prototypes — 1950-1963","Firestone","technical paper","3"
"W04_WET_INTERMEDIATE","1960","1963","Sports racing / prototypes — 1950-1963","Goodyear","technical paper","3"
"W05_CONSTRUCTION_MATERIALS","1972","1976","Group 4 Special GT — 1970-1981","Bridgestone/other","patent","3"
"W05_CONSTRUCTION_MATERIALS","1966","1971","Sports racing / prototypes — 1964-1971","Firestone","government monograph","3"
"W05_CONSTRUCTION_MATERIALS","1972","1976","Group 4 Special GT — 1970-1981","Michelin","patent","3"
"W05_CONSTRUCTION_MATERIALS","1977","1981","Group 4 Special GT — 1970-1981","Bridgestone/other","government monograph","3"
"W07_FITMENT_GEOMETRY_REGS","1972","1976","Group 4 Special GT — 1970-1981","Bridgestone/other","supplier racing catalog","3"
"W10_RR_HYSTERESIS_THERMAL","1977","1981","Group 4 Special GT — 1970-1981","Goodyear","government technical report","3"
"W10_RR_HYSTERESIS_THERMAL","1977","1981","Group 4 Special GT — 1970-1981","Dunlop","government technical report","3"
"W01_PRESSURE_TEMP_SETUP","1972","1976","Formula 1 — 3-litre/cross-ply-to-radial transition","Dunlop","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1992","1996","General Racing Tire","Michelin","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1966","1971","Sports racing / prototypes — 1964-1971","Dunlop","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Formula 1 — 3-litre/cross-ply-to-radial transition","Firestone","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Dunlop","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1966","1971","Sports racing / prototypes — 1964-1971","Michelin","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","Group C","Dunlop","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","2002","2010","World Rally Championship — 2002-2010","Michelin","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1987","1991","Formula 1 — turbo/radial slick era","Goodyear","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1972","1975","Group 2 / ETCC — 1970-1975","Bridgestone/other","period technical/race article","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","General Tire Mechanics","Pirelli","period race report / technical feature","2"
