shard,filename,records,groups,priorities,sha256
1,corpus_shard_01_of_50.jsonl,1000,"{""source_deep_mining"": 1000}","{""P0"": 1000}",0a9bc3b74b94a6b721b56d36c0168bd35d5a24cccef1913b222b4d60f645eedc
2,corpus_shard_02_of_50.jsonl,1000,"{""source_deep_mining"": 105, ""targeted_source_discovery"": 895}","{""P0"": 1000}",79e60ca5b425844ddd8cf3384403e04badf3f72181d7c124d4d3410ec1d3ceab
3,corpus_shard_03_of_50.jsonl,1000,"{""cross_source_synthesis"": 895, ""targeted_source_discovery"": 105}","{""P0"": 1000}",cb35bea03d9c1970586bfa518dfb8acc86f78a85e06740fd7224f6436f77fed8
4,corpus_shard_04_of_50.jsonl,1000,"{""cross_source_synthesis"": 305, ""source_deep_mining"": 695}","{""P0"": 1000}",e1e1e76d3549921fc2b9201571b08ef198a8e40334040d3b145d60355a35e9b7
5,corpus_shard_05_of_50.jsonl,1000,"{""source_deep_mining"": 1000}","{""P0"": 1000}",83bf28257613484a97547bc5f56280d0770eda1c5b76c3f8c60d6c59fdff6a91
6,corpus_shard_06_of_50.jsonl,1000,"{""source_deep_mining"": 1000}","{""P0"": 1000}",c01c1091ee0d3ce0b7f5462cc42ec0c6aebaa66ce8c50def3ad907104fd5a5a7
7,corpus_shard_07_of_50.jsonl,1000,"{""source_deep_mining"": 1000}","{""P0"": 1000}",39fffeae29556acbff8a2d3d7807b57823f9dad1da0cfa82249a6c75d4a4a5f6
8,corpus_shard_08_of_50.jsonl,1000,"{""evidence_to_ac_bridge"": 700, ""source_deep_mining"": 300}","{""P0"": 1000}",381d73804d57063ae98e5f4d853d806d6574043e36707abda2a0e240ac43c7b4
9,corpus_shard_09_of_50.jsonl,1000,"{""evidence_to_ac_bridge"": 400, ""targeted_source_discovery"": 600}","{""P0"": 1000}",f4039a2b92dc8162ce4c9901029d0a9890035c0b08bcfb6b335c04a0c56c777e
10,corpus_shard_10_of_50.jsonl,1000,"{""targeted_source_discovery"": 1000}","{""P0"": 1000}",da1a4f5a4bd9fe1b8c6489e648cb10abd3133284e94763f98a5a19146ed67ebe
11,corpus_shard_11_of_50.jsonl,1000,"{""targeted_source_discovery"": 1000}","{""P0"": 1000}",4038aafac11805e9be04f91d64d8f5f4fb029b4595f8913e658921f3a3c53c31
12,corpus_shard_12_of_50.jsonl,1000,"{""source_deep_mining"": 950, ""targeted_source_discovery"": 50}","{""P0"": 50, ""P1"": 950}",e0523be624224e49ad9b52dc576509d091b8d31f11f5dfc27c82cdc0a292cd57
13,corpus_shard_13_of_50.jsonl,1000,"{""source_deep_mining"": 1000}","{""P1"": 1000}",551ea30a9f96c291301fca01f78648ce59de941023f05927bbb1af13e28c16f5
14,corpus_shard_14_of_50.jsonl,1000,"{""source_deep_mining"": 1000}","{""P1"": 1000}",384d85cc3887df7b5ffbaff3d74d664af69e32c66899baef92e47b02992fd9ca
15,corpus_shard_15_of_50.jsonl,1000,"{""source_deep_mining"": 1000}","{""P1"": 1000}",a70ef88cee979996dc445df2df57ae5fe79c98f8abe27fd0ccd41784d1cc0c8b
16,corpus_shard_16_of_50.jsonl,1000,"{""source_deep_mining"": 1000}","{""P1"": 1000}",22bfb2cee6fe19a56de6c5ef75edcd93052bb3eaaa18bb5e1e8dd13ce438a5b6
17,corpus_shard_17_of_50.jsonl,1000,"{""cross_source_synthesis"": 607, ""source_deep_mining"": 393}","{""P1"": 1000}",1573ff6a72f67d6ea112252ac4faa7c3cbde6a8856e811aae720af57e55702e9
18,corpus_shard_18_of_50.jsonl,1000,"{""cross_source_synthesis"": 1000}","{""P1"": 1000}",a92ec44fb807c8684aa66e04ea360a813fae0f12e82de3b40ff564255518b695
19,corpus_shard_19_of_50.jsonl,1000,"{""cross_source_synthesis"": 193, ""source_deep_mining"": 807}","{""P1"": 1000}",e56d541d7cdfc09109a51d6861ed9ef63516dd6ec6420f07db591072c48f6e6f
20,corpus_shard_20_of_50.jsonl,1000,"{""source_deep_mining"": 1000}","{""P1"": 1000}",2e3a3254998c34bdaa95a226ee98009369cd5462e4fd693ce7f94a90bbae439e
21,corpus_shard_21_of_50.jsonl,1000,"{""source_deep_mining"": 1000}","{""P1"": 1000}",fb1875c9cb233d168a3e33543992feb12a0c68656034cc45d2209dd90e7fa928
22,corpus_shard_22_of_50.jsonl,1000,"{""source_deep_mining"": 1000}","{""P1"": 1000}",744eef3fdaba0b5ec94cd5b30d9f54e0f07a89ac61f272aaae392f46a3ca29c5
23,corpus_shard_23_of_50.jsonl,1000,"{""source_deep_mining"": 1000}","{""P1"": 1000}",7d85b5449e5fd61f93854774f5099f9c87ca7e1427aef8ccbe4ce1604c0df6d9
