document_target_id,status,priority_score,weakness_id,weakness,era,year_start,year_end,series_class,supplier,evidence_subtopic,repository_target,target_document_type,search_query,expected_evidence_fields,must_extract,acceptance_rule,do_not_infer,priority
DOC-00001,TO_ACQUIRE_REAL_DOCUMENT,140,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1972-1976,1972,1976,Formula 1,Dunlop,cold-to-hot pressure rise,motorsportmagazine.com archive,period race report / technical feature,"""Dunlop"" ""Formula 1"" 1972 1976 tire tyre cold-to-hot pressure rise setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-00002,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1950-1959,1950,1959,Group C/IMSA GTP,Avon,camber temperature spread,FIA Historic Database,regulation/homologation,"""Avon"" ""Group C/IMSA GTP"" 1950 1959 tire tyre camber temperature spread setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-00003,TO_ACQUIRE_REAL_DOCUMENT,125,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1992-1996,1992,1996,General racing tire,Michelin,track temperature effect,motorsportmagazine.com archive,period race report / technical feature,"""Michelin"" ""General racing tire"" 1992 1996 tire tyre track temperature effect setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-00004,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1977-1981,1977,1981,Trans-Am/IMSA sedan,Goodyear,pressure vs footprint,FIA Historic Database,regulation/homologation,"""Goodyear"" ""Trans-Am/IMSA sedan"" 1977 1981 tire tyre pressure vs footprint setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-00005,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1960-1965,1960,1965,Club/Formula Ford,Bridgestone/other,cavity/internal air temperature,motorsportmagazine.com archive,period race report / technical feature,"""Club/Formula Ford"" 1960 1965 tire tyre cavity/internal air temperature setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-00006,TO_ACQUIRE_REAL_DOCUMENT,145,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1997-2001,1997,2001,Group 2/ETCC touring,Pirelli,hot pressure target,FIA Historic Database,regulation/homologation,"""Pirelli"" ""Group 2/ETCC touring"" 1997 2001 tire tyre hot pressure target setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-00007,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1982-1986,1982,1986,Japanese JGTC/GT500,Firestone,nitrogen vs air,motorsportmagazine.com archive,period race report / technical feature,"""Firestone"" ""Japanese JGTC/GT500"" 1982 1986 tire tyre nitrogen vs air setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-00008,TO_ACQUIRE_REAL_DOCUMENT,155,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1966-1971,1966,1971,GT40/1960s endurance,Dunlop,speed cooling,FIA Historic Database,regulation/homologation,"""Dunlop"" ""GT40/1960s endurance"" 1966 1971 tire tyre speed cooling setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-00009,TO_ACQUIRE_REAL_DOCUMENT,130,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",2002-2010,2002,2010,IMSA GTS/GT,Avon,temperature equilibrium,motorsportmagazine.com archive,period race report / technical feature,"""Avon"" ""IMSA GTS/GT"" 2002 2010 tire tyre temperature equilibrium setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-00010,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1987-1991,1987,1991,Indy/USAC/CART,Michelin,pressure vs deflection,FIA Historic Database,regulation/homologation,"""Michelin"" ""Indy/USAC/CART"" 1987 1991 tire tyre pressure vs deflection setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
