shard,filename,records,first_id,last_id,priority_mix
1,shards/shard_01_of_20.jsonl,500,DOC-00011,DOC-00235,P0:500;P1:0;P2:0
2,shards/shard_02_of_20.jsonl,500,DOC-00246,DOC-01859,P0:500;P1:0;P2:0
3,shards/shard_03_of_20.jsonl,500,DOC-01864,DOC-01495,P0:0;P1:500;P2:0
4,shards/shard_04_of_20.jsonl,500,DOC-01499,DOC-03037,P0:0;P1:500;P2:0
5,shards/shard_05_of_20.jsonl,500,DOC-03050,DOC-00759,P0:0;P1:500;P2:0
6,shards/shard_06_of_20.jsonl,500,DOC-00762,DOC-03992,P0:0;P1:500;P2:0
7,shards/shard_07_of_20.jsonl,500,DOC-03994,DOC-02204,P0:0;P1:500;P2:0
8,shards/shard_08_of_20.jsonl,500,DOC-02205,DOC-04407,P0:0;P1:500;P2:0
9,shards/shard_09_of_20.jsonl,500,DOC-04410,DOC-03255,P0:0;P1:0;P2:500
10,shards/shard_10_of_20.jsonl,500,DOC-03256,DOC-04277,P0:0;P1:0;P2:500
11,shards/shard_11_of_20.jsonl,500,DOC-04280,DOC-05446,P0:0;P1:0;P2:500
12,shards/shard_12_of_20.jsonl,500,DOC-05451,DOC-06043,P0:0;P1:0;P2:500
13,shards/shard_13_of_20.jsonl,500,DOC-06045,DOC-05504,P0:0;P1:0;P2:500
14,shards/shard_14_of_20.jsonl,500,DOC-05512,DOC-07737,P0:0;P1:0;P2:500
15,shards/shard_15_of_20.jsonl,500,DOC-07742,DOC-06762,P0:0;P1:0;P2:500
16,shards/shard_16_of_20.jsonl,500,DOC-06768,DOC-06038,P0:0;P1:0;P2:500
17,shards/shard_17_of_20.jsonl,500,DOC-06040,DOC-07027,P0:0;P1:0;P2:500
18,shards/shard_18_of_20.jsonl,500,DOC-07028,DOC-07993,P0:0;P1:0;P2:500
19,shards/shard_19_of_20.jsonl,500,DOC-07994,DOC-09020,P0:0;P1:0;P2:500
20,shards/shard_20_of_20.jsonl,500,DOC-09022,DOC-09999,P0:0;P1:0;P2:500
