seed_id,title,year,publisher,url,focus,verification_status
SAE 2006-01-3607,Inflation Pressure Effects in the Nondimensional Tire Model,2006,SAE / Milliken / University at Buffalo,https://saemobilus.sae.org/papers/inflation-pressure-effects-nondimensional-tire-model-2006-01-3607,pressure;F&M;spring rate;loaded radius,ABSTRACT_PAGE_VERIFIED
SAE 950313,The Effects of Tire Cornering Stiffness on Vehicle Linear Handling Performance,1995,SAE / General Tire,https://saemobilus.sae.org/papers/effects-tire-cornering-stiffness-vehicle-linear-handling-performance-950313,cornering stiffness;construction;F&M,ABSTRACT_PAGE_VERIFIED
SAE 2019-26-0360,Effect of Ambient Temperature and Inflation Pressure on Tire Temperature,2019,SAE,https://saemobilus.sae.org/papers/effect-ambient-temperature-inflation-pressure-tire-temperature-2019-26-0360,thermal;pressure,ABSTRACT_PAGE_VERIFIED
SAE 2023-28-1326,Thermal Property Characterisation for Tyre Rubber Materials,2023,SAE / HASETRI,https://saemobilus.sae.org/papers/thermal-property-characterisation-tyre-rubber-materials-2023-28-1326,thermal conductivity;specific heat;rubber,ABSTRACT_PAGE_VERIFIED
SAE 2019-26-0368,"Analysis of Effect of Tire Inflation Pressure, Inflation Fluids, Load and Speed on Tire Performance",2019,SAE,https://saemobilus.sae.org/papers/analysis-effect-tire-inflation-pressure-inflation-fluids-load-speed-tire-performance-2019-26-0368,pressure;speed;load;temperature;nitrogen,ABSTRACT_PAGE_VERIFIED
SAE 2006-01-3606,The Formula SAE Tire Test Consortium—Tire Testing and Data Handling,2006,SAE / Calspan / University at Buffalo,https://saemobilus.sae.org/papers/formula-sae-tire-test-consortium-tire-testing-data-handling-2006-01-3606,F&M test methodology;motorsport,ABSTRACT_PAGE_VERIFIED
SAE 2018-01-1338,Physical Handling Tire Model Incorporating Temperature and Inflation Pressure Change Effect,2018,SAE / Hankook,https://saemobilus.sae.org/papers/physical-handling-tire-model-incorporating-temperature-inflation-pressure-change-effect-2018-01-1338,temperature;pressure;flexible carcass;handling,ABSTRACT_PAGE_VERIFIED
SAE 980255,Rolling Resistance of Tires — An Analysis of Heat Generation,1998,SAE / Kumho,https://saemobilus.sae.org/papers/rolling-resistance-tires-analysis-heat-generation-980255,hysteresis;heat generation;internal air temperature,ABSTRACT_PAGE_VERIFIED
SAE 2025-01-5060,From Temperature to Wear: A Quantitative Analysis of Tire Influence on Vehicle Cornering,2025,SAE,https://saemobilus.sae.org/papers/temperature-wear-a-quantitative-analysis-tire-influence-vehicle-cornering-using-handling-key-performance-indicators-2025-01-5060,temperature;wear;handling,ABSTRACT_PAGE_VERIFIED
NASA-TP-1569,"Wear, Friction, and Temperature Characteristics of an Aircraft Tire Undergoing Braking and Cornering",1979,NASA,https://ntrs.nasa.gov/citations/19800004758,wear;slip;temperature;underinflation;carcass heat,FULL_REPORT_LINK_VERIFIED
